#HaloID,snapnum,x,y,z,radius
286006293000006,57,263.879,248.3567,319.0599,35
437005148000006,57,72.81896,478.2139,474.981,35
226000078000005,58,361.3862,222.0601,156.512,35
103000102000720,58,210.0795,375.162,192.5757,35
407000570000005,58,209.0408,422.8687,293.9637,35
285006846019304,58,341.253,261.2605,341.2342,35
104000023005764,58,212.7037,409.4869,205.7974,35
124000068000005,58,239.9406,306.6135,108.028,35
154000061000005,58,296.6407,272.0233,170.3396,35
128008176000136,58,265.4697,313.4377,46.56627,35
477004683000004,59,163.8183,166.3069,456.4641,35
460000053000004,59,89.56544,125.9151,327.1188,35
296003841076681,59,239.1522,73.44056,433.5433,35
12000053000004,59,88.6406,103.8856,183.4518,35
190004177000004,59,398.5563,280.0649,21.53543,35
134007602005416,59,310.3306,357.2706,5.03583,35
92000050000690,59,121.8618,372.5216,187.421,35
191000122000004,59,446.3486,268.3689,49.95571,35
319025649000053,59,1.027534,249.5992,494.1895,35
257000034000004,59,447.6168,204.1525,364.2001,35
341000117000004,59,386.0482,474.2082,256.8887,35
244004932000004,59,452.6517,123.7317,184.8614,35
460000054000004,59,108.6241,139.7896,335.5847,35
392000081009634,59,235.6745,409.2821,476.074,35
425019679000004,59,49.46998,487.3036,256.8675,35
35006884000004,59,167.6351,142.2337,108.3521,35
25005415000004,59,235.149,56.90212,40.20315,35
448000100000004,59,12.17147,241.8704,474.2981,35
375015327000004,59,251.3757,382.643,488.0448,35
10000036004456,59,28.23765,77.54935,252.7921,35
122000096005789,59,130.5145,319.2171,71.68048,35
366000086000004,59,291.1632,451.675,358.3138,35
392000079000004,59,237.5292,382.135,481.1556,35
99000085000004,59,133.6384,361.3216,131.2056,35
197000045000003,60,419.6518,172.6533,98.81235,35
114000127000003,60,141.4887,453.0037,92.18104,35
164000038000168,60,446.9561,323.1531,123.7949,35
482023434000003,60,148.9135,107.7993,460.42,35
114000128000003,60,169.1667,452.2475,66.79663,35
71000076000003,60,61.04535,336.1948,48.272,35
336000727002605,60,2.200113,391.1204,342.6965,35
76000031000003,60,116.5925,405.1437,71.77924,35
301005098077943,60,369.7992,496.3486,402.0308,35
267001677000198,60,437.0539,65.52949,352.5048,35
79000175003419,60,3.487594,413.2383,132.1524,35
244004930037223,60,464.717,120.3019,176.3224,35
454000109022624,60,29.0974,166.4112,412.9877,35
204000031000003,60,429.35,105.3149,115.2016,35
244004933000003,60,456.3762,121.4606,166.7863,35
242000071000003,60,434.4308,9.571027,168.3962,35
34010484000003,60,146.0183,150.3857,3.653977,35
300003562000003,60,346.9416,101.6985,430.0907,35
109000144053659,60,139.2436,481.3328,161.8969,35
454000109000003,60,34.79123,168.8384,410.1787,35
453000138005002,60,91.17815,135.1103,377.7499,35
302007333000003,60,335.257,40.30788,495.0565,35
313000079000003,60,491.757,157.0576,424.7483,35
337000110000003,60,499.771,453.6408,332.2567,35
118000045000003,60,197.1176,478.6611,28.8564,35
35000044039485,60,122.3719,144.3995,84.43272,35
267001676011666,60,436.7772,70.07771,344.6218,35
118000046000003,60,193.6027,486.3657,14.10431,35
327019877000003,60,495.5566,316.7538,488.5734,35
198000095000003,60,457.9394,172.3189,112.6217,35
76000028018295,60,116.1709,386.6016,93.12736,35
477004680000528,60,176.9755,124.9092,469.2293,35
302000001000003,60,348.5293,61.38877,497.9877,35
116000050000003,60,137.1676,418.5735,44.74708,35
114014934000003,60,132.4752,458.2104,79.7356,35
308002278000002,61,489.8462,99.1067,419.855,35
334006411003054,61,497.8163,457.6268,370.2587,35
176003237000224,61,493.3382,400.2244,62.07935,35
312000057000002,61,468.7321,151.5182,491.9537,35
305000063032005,61,379.3274,4.702547,436.7574,35
331001627000002,61,432.2644,405.945,491.874,35
508000123000002,61,92.38259,4.699577,475.6912,35
503000195000002,61,30.37089,31.13484,366.0505,35
311001694000002,61,464.9033,101.9172,468.7346,35
333009597000002,61,409.1015,490.3588,420.1546,35
6000038000002,61,56.35384,70.08961,110.2544,35
206000102000002,61,412.9029,16.96243,45.70322,35
5000059000002,61,77.95091,92.35743,84.80219,35
138000505000002,61,357.5197,447.9585,30.99314,35
337000109000094,61,0.4317059,467.1374,370.264,35
394000069000002,61,137.9302,485.9367,469.3585,35
200016645001532,61,463.7213,86.50547,496.8501,35
62010362000002,61,1.581735,128.8224,26.4976,35
202015315000364,61,465.4372,20.97973,128.9248,35
6000041000002,61,1.728149,69.70428,88.37947,35
439000171000002,61,12.60777,428.2802,440.3513,35
174000097000002,61,468.8695,487.4769,152.0686,35
311005477000496,61,471.5211,127.4405,445.6049,35
3000035000002,61,122.5696,45.24639,14.2364,35
180023275000002,61,382.1573,406.8751,22.84007,35
177000068000002,61,467.8891,471.2526,113.9391,35
432014593000002,61,55.90004,413.102,420.8814,35
394000070000102,61,123.9736,493.5627,469.7032,35
200000071000002,61,475.1787,101.7611,30.45305,35
311001696000002,61,461.7263,108.0655,465.8856,35
205000105000054,61,377.7378,36.98196,60.99113,35
