#OK
#SQL= select z.snapnum,z.z 
#	from MField..Snapshots z
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2012-10-10 16:26:31.763 CEST
#QUERYTIME 1 millisec
#COLUMN 1 name=snapnum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#snapnum,z
0,127.0
1,79.997894
2,49.99959
3,30.000063
4,19.91569
5,18.243723
6,16.724525
7,15.343074
8,14.085914
9,12.94078
10,11.89657
11,10.943864
12,10.073461
13,9.277915
14,8.549912
15,7.8832035
16,7.272188
17,6.7115865
18,6.1968336
19,5.723864
20,5.2888336
21,4.888449
22,4.5195556
23,4.1794686
24,3.8656828
25,3.575905
26,3.3080978
27,3.060419
28,2.8311827
29,2.6188614
30,2.422044
31,2.2394855
32,2.0700274
33,1.9126327
34,1.7663358
35,1.6302707
36,1.5036365
37,1.3857181
38,1.2758462
39,1.1734169
40,1.0778745
41,0.98870814
42,0.9054624
43,0.8276991
44,0.75503564
45,0.6871088
46,0.6235901
47,0.5641766
48,0.5085914
49,0.45657724
50,0.40789944
51,0.36234027
52,0.31970343
53,0.2798018
54,0.24246909
55,0.20754863
56,0.17489761
57,0.14438342
58,0.11588337
59,0.08928783
60,0.064493395
61,0.041403063
62,0.019932542
63,0.0
#OK
